name,geometry
Vatican City,POINT (12.45338654497177 41.90328217996012)
San Marino,POINT (12.44177015780014 43.936095834768)
Vaduz,POINT (9.516669472907267 47.13372377429357)
Luxembourg,POINT (6.130002806227083 49.61166037912108)
Palikir,POINT (158.1499743237623 6.916643696007725)
Majuro,POINT (171.3800001757465 7.103004311216239)
Funafuti,POINT (179.2166470940289 -8.516651999041073)
Melekeok,POINT (134.6265484669922 7.487396172977981)
Monaco,POINT (7.406913173465057 43.73964568785249)
Tarawa,POINT (173.0175708285494 1.338187505624603)
Moroni,POINT (43.24024409869332 -11.70415769566847)
Andorra,POINT (1.51648596050552 42.5000014435459)
Port-of-Spain,POINT (-61.51703088544974 10.65199708957726)
Kigali,POINT (30.05858591906411 -1.95164421006325)
Mbabane,POINT (31.13333451205636 -26.31665077840921)
Juba,POINT (31.58002559278731 4.829975198277964)
Ljubljana,POINT (14.51496903347413 46.0552883087945)
Bratislava,POINT (17.11698075223461 48.15001832996171)
Doha,POINT (51.5329678942993 25.28655600890659)
Podgorica,POINT (19.26630692411823 42.46597251288171)
Bern,POINT (7.466975462482424 46.91668275866772)
Pristina,POINT (21.16598425159987 42.66670961411938)
Roseau,POINT (-61.38701298180337 15.30101564428332)
Djibouti,POINT (43.14800166705226 11.59501446425548)
Banjul,POINT (-16.5917014892126 13.45387646031594)
Skopje,POINT (21.4334614651425 42.00000612290586)
Bridgetown,POINT (-59.61652673505159 13.10200258275114)
Bujumbura,POINT (29.3600060615284 -3.376087220374643)
Kingstown,POINT (-61.21206242027932 13.14827882786841)
Castries,POINT (-61.00000818036955 14.00197348933034)
Basseterre,POINT (-62.71700931969934 17.30203045548939)
Port Louis,POINT (57.49999385460973 -20.16663857135325)
Saint George's,POINT (-61.74164322607476 12.05263340172041)
Manama,POINT (50.58305171591019 26.23613629048594)
Saint John's,POINT (-61.85003381513866 17.11803651831411)
Montevideo,POINT (-56.17299814703597 -34.85609570759073)
Lome,POINT (1.22081126074562 6.133882930268385)
Tunis,POINT (10.17967809921203 36.80277813623144)
Abu Dhabi,POINT (54.36659338259199 24.46668357237991)
Ashgabat,POINT (58.38329911177465 37.94999493311099)
Lusaka,POINT (28.28138173611427 -15.41469840933593)
Harare,POINT (31.04276357206282 -17.8158438357778)
Dili,POINT (125.5794559317051 -8.559388408546454)
Port Vila,POINT (168.3166405835686 -17.73335040402583)
Tegucigalpa,POINT (-87.21947519794151 14.1039907590764)
Georgetown,POINT (-58.16702864748061 6.801973692752028)
Reykjavík,POINT (-21.95001448717954 64.15002361973922)
Port-au-Prince,POINT (-72.33798044690553 18.54297045473237)
Kampala,POINT (32.58137766712105 0.318604813383331)
Paramaribo,POINT (-55.16703088542437 5.835030129922586)
Niamey,POINT (2.114710186530374 13.51865181050647)
Dushanbe,POINT (68.77387935270173 38.56003521631658)
Asuncion,POINT (-57.64345102790134 -25.29445711705768)
Managua,POINT (-86.27043751890119 12.15496243875612)
Freetown,POINT (-13.23616159901275 8.471957271098177)
Islamabad,POINT (73.16468862105955 33.70194180895959)
Kathmandu,POINT (85.31469635222788 27.71863777247722)
Bloemfontein,POINT (26.22991288117737 -29.1199938773787)
Pretoria,POINT (28.22748321723384 -25.70497469518443)
Port Moresby,POINT (147.1925036205936 -9.464707825867777)
Honiara,POINT (159.9497657336057 -9.437994295089595)
Panama City,POINT (-79.53498301041077 8.969963049094872)
Rabat,POINT (-6.83640815612614 34.02530731107282)
Chisinau,POINT (28.85771113965143 47.00502361967062)
Maputo,POINT (32.58721710397009 -25.95333162877898)
Mogadishu,POINT (45.36473175245874 2.068627192947531)
Muscat,POINT (58.59331213260884 23.61332480772813)
Colombo,POINT (79.85775060925641 6.931965758182116)
Ulaanbaatar,POINT (106.9146699037465 47.91861925856074)
Wellington,POINT (174.7832742912769 -41.29997393927641)
Windhoek,POINT (17.08354610054181 -22.57000608438381)
Abuja,POINT (7.53138214293233 9.085279007754195)
Bissau,POINT (-15.59836084132075 11.86502382298056)
Amman,POINT (35.93135406687412 31.95197110582745)
Vilnius,POINT (25.3166352932829 54.68336631175862)
Riga,POINT (24.09996537140319 56.95002382316096)
Bishkek,POINT (74.58325836390367 42.87502530509011)
Maseru,POINT (27.48327306998448 -29.31667437868163)
Antananarivo,POINT (47.51467804152986 -18.91469149203215)
Quito,POINT (-78.5019969671124 -0.2130423220355624)
San Jose,POINT (-84.08599721127536 9.936958288356607)
San Salvador,POINT (-89.2049870794599 13.71194750549404)
Kingston,POINT (-76.76743371366911 17.9770766238309)
Ndjamena,POINT (15.0472024554623 12.11504239481064)
Malabo,POINT (8.783277545821136 3.750015278026183)
Asmara,POINT (38.93332352575931 15.33333925268192)
Zagreb,POINT (15.99999466824568 45.80000673327254)
Tallinn,POINT (24.72804072947855 59.43387737948592)
Lilongwe,POINT (33.78330195998353 -13.98329506546918)
Guatemala,POINT (-90.52891143656154 14.62308052144817)
Libreville,POINT (9.457965045823698 0.3853886097185182)
Suva,POINT (178.4417073153799 -18.13301593137123)
Nouakchott,POINT (-15.97534041489001 18.08642702124752)
Bamako,POINT (-8.001984963249697 12.65196052632325)
Beirut,POINT (35.50776235137766 33.8739209756269)
Tbilisi,POINT (44.78884959099798 41.72695584707759)
Astana,POINT (71.427774209483 51.18112530425759)
Vientiane,POINT (102.5999800201548 17.96669272762739)
Brazzaville,POINT (15.28274363384867 -4.257239913197509)
Conakry,POINT (-13.68218088612394 9.533468705021789)
Yamoussoukro,POINT (-5.275502564912301 6.818380960004617)
Ottawa,POINT (-75.70196115980951 45.41864265536043)
Belgrade,POINT (20.46604482202054 44.82059130444674)
Bandar Seri Begawan,POINT (114.9332840566623 4.883331114619239)
Sucre,POINT (-65.25951562667564 -19.04097084673947)
Belmopan,POINT (-88.76707299981655 17.25203350724689)
Bangui,POINT (18.55828812528728 4.366644306349087)
Yaounde,POINT (11.51470489685443 3.868646520754112)
Tirana,POINT (19.81888301461521 41.32754070949159)
Yerevan,POINT (44.51160553175208 40.18309659414189)
Baku,POINT (49.86027130325778 40.39721789134302)
Phnom Penh,POINT (104.9146886211864 11.55197598855841)
La Paz,POINT (-68.15193104910219 -16.49602775504337)
Cotonou,POINT (2.518044740568598 6.401954422782467)
Sofia,POINT (23.31470815211009 42.68529528393054)
Minsk,POINT (27.56468129665825 53.9019232950431)
Thimphu,POINT (89.63901403702999 27.47298585917576)
Gaborone,POINT (25.91194779328538 -24.64631345743891)
Canberra,POINT (149.1290262442992 -35.28302854537208)
Ouagadougou,POINT (-1.526669614916443 12.37226183654337)
Sarajevo,POINT (18.38300166695331 43.85002239895493)
Naypyidaw,POINT (96.11667267063035 19.76850288475015)
Nukualofa,POINT (-175.2205644776166 -21.13851235669864)
Hargeysa,POINT (44.06531001666542 9.56002239881775)
Victoria,POINT (55.44998978559113 -4.6166316539734)
Sao Tome,POINT (6.733325153234773 0.3334021188329075)
Apia,POINT (-171.7386416086032 -13.84154504244844)
Valletta,POINT (14.51471065131278 35.89973248193087)
Male,POINT (73.499947467955 4.1667081898118)
Jerusalem,POINT (35.20662593459866 31.7784078155733)
Praia,POINT (-23.51668888497221 14.91669801732866)
Nassau,POINT (-77.35004378427612 25.08339011535122)
Nicosia,POINT (33.36663488641415 35.1666764516545)
Hanoi,POINT (105.8480683412422 21.03527310773705)
Ankara,POINT (32.86244578235664 39.92918444407547)
Budapest,POINT (19.08137481875968 47.50195218499135)
Sanaa,POINT (44.20464752393843 15.35667915426365)
Bucharest,POINT (26.0980007953504 44.43531766349457)
Damascus,POINT (36.29805003041707 33.50197985420613)
Lisbon,POINT (-9.14681216410213 38.72466873648784)
Khartoum,POINT (32.53223338001158 15.59002408427767)
Oslo,POINT (10.74803334737231 59.91863614500187)
Warsaw,POINT (20.99805369246531 52.25194648839556)
Pyongyang,POINT (125.7527448549939 39.02138455800434)
Dar es Salaam,POINT (39.26639597769457 -6.798066736124383)
Dublin,POINT (-6.250851540391068 53.33500699458494)
Monrovia,POINT (-10.79966043677592 6.314581647160139)
Kuala Lumpur,POINT (101.6980374167464 3.168611730712371)
Havana,POINT (-82.3661280299533 23.1339046995422)
Prague,POINT (14.46403391704854 50.08528287347832)
Kuwait,POINT (47.97635528762527 29.37166348862957)
Santo Domingo,POINT (-69.90203094331503 18.47201871319538)
Accra,POINT (-0.2186615989606935 5.551980464445933)
Tripoli,POINT (13.18001175807819 32.89250001935369)
Helsinki,POINT (24.93218048284558 60.17750923256807)
København,POINT (12.56153988870329 55.68051004902594)
Abidjan,POINT (-4.041994118507091 5.321942826098564)
Brasilia,POINT (-47.91799814700306 -15.78139437287899)
Brussels,POINT (4.33137074969045 50.83526293533032)
Dhaka,POINT (90.40663360810754 23.72500557031282)
Luanda,POINT (13.23248118266855 -8.836340255012658)
Algiers,POINT (3.048606670909237 36.76501065662814)
Rangoon,POINT (96.16473175266185 16.78529996318878)
Caracas,POINT (-66.91898305105042 10.50294441303333)
Kiev,POINT (30.51468211047217 50.43531318760722)
Tashkent,POINT (69.29298696088779 41.31364774160721)
Madrid,POINT (-3.685297544612524 40.40197212311381)
Stockholm,POINT (18.09538887418091 59.35270581286585)
Bangkok,POINT (100.5146987936949 13.75194506408798)
Lima,POINT (-77.05200795343472 -12.04606681752557)
Dakar,POINT (-17.47507598705056 14.71777758362327)
Johannesburg,POINT (28.02806386501948 -26.16809888138414)
Amsterdam,POINT (4.914694317400972 52.35191454666443)
Seoul,POINT (126.9977851382019 37.56829495838895)
Manila,POINT (120.9802713035424 14.60610481344054)
Berlin,POINT (13.39960276470055 52.52376452225116)
Kinshasa,POINT (15.31302602317174 -4.327778243275986)
New Delhi,POINT (77.19998002005303 28.60002300924543)
Athens,POINT (23.73137522567936 37.98527209055226)
Baghdad,POINT (44.39192291456413 33.34059435615865)
Addis Ababa,POINT (38.69805857534868 9.035256221295754)
Tehran,POINT (51.42239817500899 35.6738886270013)
Buenos Aires,POINT (-58.39947723233144 -34.60055574990741)
Kabul,POINT (69.18131419070505 34.51863614490031)
Vienna,POINT (16.36469309674374 48.20196113681686)
Taipei,POINT (121.568333333333 25.0358333333333)
"Washington, D.C.",POINT (-77.01136443943716 38.90149523508705)
London,POINT (-0.1186677024759319 51.5019405883275)
Riyadh,POINT (46.77079579868825 24.64277900781644)
Cape Town,POINT (18.43304229922603 -33.91806510862875)
Moscow,POINT (37.6135769672714 55.75410998124818)
Mexico City,POINT (-99.13293406029391 19.44438830141547)
Rome,POINT (12.481312562874 41.89790148509894)
Beijing,POINT (116.3863398256594 39.93083808990906)
Nairobi,POINT (36.81471100047145 -1.281400883237779)
Jakarta,POINT (106.8274917624701 -6.172471846798885)
Bogota,POINT (-74.08528981377441 4.598369421147822)
Cairo,POINT (31.24802236112612 30.05190620510371)
Tokyo,POINT (139.7494615705447 35.68696276437117)
Paris,POINT (2.33138946713035 48.86863878981461)
Santiago,POINT (-70.66898671317483 -33.4480679569341)
Singapore,POINT (103.853874819099 1.294979325105942)
